,Type,Size_or_Members,Shape,Data_type
/AwakeEventData/XUCL-SPECTRO/CameraSettings/mcpGain_min,Dataset,1,"(1,)",int32
/AwakeEventData/TSG40.AWAKE-LASER-CORRELATOR/FileRead/fittedAmplitude,Dataset,768,"(768,)",float64
/AwakeEventData/TCC4.AWAKE-SCOPE-CTR.CH2/FileRead/fileTime,Dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/exposureTime,Dataset,1,"(1,)",float64
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement,Group,3,,
/AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthStdThr,Dataset,1,"(1,)",float32
/AwakeEventData/RPCAH.TSG4.RCIBV.412345/Acquisition/currentAverage,Dataset,1,"(1,)",float32
/AwakeEventData/SPSBQMSPSv1/Acquisition/oscillationPercentDeltaMaxThr,Dataset,1,"(1,)",float32
/AwakeEventData/awake.XAWAVS_BEAML_TT_AVG/PosSt/value,Dataset,1,"(1,)",float64
/AwakeEventData/TSG40.AWAKE-LASER-CORRELATOR/FileRead/pulseWidth,Dataset,1,"(1,)",float64
/AwakeEventData/SR.SCOPE30.CH02/Acquisition/offset,Dataset,1,"(1,)",float32
/AwakeEventData/SR.SCOPE43.CH03/Acquisition/triggerError,Dataset,1,"(1,)",float32
/AwakeEventData/SR.SCOPE30.CH02/Acquisition/cycleTag,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BPM.412343/Acquisition/verPos,Dataset,12,"(12,)",float32
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityRMS,Dataset,1,"(1,)",float64
/AwakeEventData/TT43.BPM.430028/Acquisition/verAvePos,Dataset,1,"(1,)",float32
/AwakeEventData/TSG41.AWAKE-LASER-DATA/NameAcquisition/nameValue,Dataset,100,"(100,)",|S55
/AwakeEventData/TT41.BTV.412350/Image/nbDataSets,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.AWAKE-eBLM-pico1/FileRead/FileTime,Dataset,1,"(1,)",int64
/AwakeEventData/Sps2AwakeSynchro/ProtonDelayNs,Group,1,,
/AwakeEventData/TT41.BTV.412350/Image/acqMsg,Dataset,1,"(1,)",|S2
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/height,Dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjAvg,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BPM.412347/Acquisition/posOK,Dataset,1,"(1,)",No NumPy equivalent for TypeBitfieldID exists
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/posOkSelected,Dataset,0,"(0,)",No NumPy equivalent for TypeBitfieldID exists
/AwakeEventData/SR.SCOPE43.CH04/Acquisition/value_units,Dataset,1,"(1,)",|S1
/AwakeEventData/RPCAH.TSG4.RCIBV.430309/Acquisition,Group,1,,
/AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity_unitExponent,Dataset,1,"(1,)",float32
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamSize,Dataset,1,"(1,)",float64
/AwakeEventData/PMOTOR03/Acquisition,Group,1,,
/AwakeEventData/TT43.BPM.430103/Acquisition/horPos,Dataset,12,"(12,)",float32
/AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthStdOk,Dataset,1,(),bool
/AwakeEventData/SPS.BCTDC.41435/Acquisition/nbOfAdcData,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.AWAKE-eBLM-pico2/FileRead,Group,13,,
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement,Group,3,,
/AwakeEventData/RADMON.AWAKE-1/Acquisition/radfet2Type,Dataset,1,"(1,)",int32
/AwakeEventData/SR.SCOPE27.CH01/Acquisition/value_units,Dataset,1,"(1,)",|S1
/AwakeEventData/XUCL-SPECTRO/BinningSetting/vstart,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412350.STREAK/StreakImage,Dataset,1,(),|S105
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjSigma,Dataset,1,"(1,)",float64
/AwakeEventData/SR.SCOPE43.CH01/Acquisition,Group,11,,
/AwakeEventData/SR.SCOPE43.CH03/Acquisition/offset,Dataset,1,"(1,)",float32
/AwakeEventData/MPP-VACTRANS-OTR/Acquisition/switchIn,Dataset,1,(),bool
/AwakeEventData/TCC4.AWAKE-SCOPE-CTR.CH1/FileRead/headerName,Dataset,100,"(100,)",|S17
/AwakeEventData/TT41.BTV.412350/Image/planeSet2,Dataset,1,"(1,)",int32
/AwakeEventData/EMETER05/Acq/value,Dataset,1,"(1,)",float32
/AwakeEventData/SR.SCOPE43.CH05/Acquisition/firstSampleTime,Dataset,1,"(1,)",float32
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityRMS,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BTV.412350/Image/acqCounter,Dataset,1,"(1,)",int32
/AwakeEventData/RPCAH.TSG4.RQID.430037,Group,1,,
/AwakeEventData/RPCAH.TSG4.RQID.430031,Group,1,,
/AwakeEventData/MPP-VACTRANS-CTR/Acquisition/position,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412353/Image/userImageSelectionNumber,Dataset,1,"(1,)",int16
/AwakeEventData/TT41.BTV.412426/Acquisition/cameraOffset,Dataset,1,"(1,)",int16
/AwakeEventData/TT41.AWAKE-eBLM-pico2/FileRead/dataValue3,Dataset,785,"(785,)",float64
/AwakeEventData/XUCL-SPECTRO/CameraSettings/ddgGateDelay_min,Dataset,1,"(1,)",int64
/AwakeEventData/RADMON.AWAKE-3/Acquisition/radfet1Type,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.AWAKE-eBLM-pico1,Group,1,,
/AwakeEventData/FWHEEL01/Acq,Group,3,,
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS12,Group,1,,
/AwakeEventData/TT41.AWAKE-eBLM-pico2,Group,1,,
/AwakeEventData/SR.SCOPE45.CH04/Acquisition/value,Dataset,352,"(1, 352)",int16
/AwakeEventData/TSG41.AWAKE-CTR-WR4-WR8-MIXERS/NameAcquisition,Group,1,,
/AwakeEventData/SR.SCOPE43.CH05/Acquisition/cycleTag,Dataset,1,"(1,)",int32
/AwakeEventData/RPCAH.TSG4.RQID.412344/Acquisition,Group,1,,
/AwakeEventData/TT43.BPM.430010/Acquisition/posOK,Dataset,0,"(0,)",No NumPy equivalent for TypeBitfieldID exists
/AwakeEventData/SPSBQMSPSv1/Acquisition/tgmSCNUM,Dataset,1,"(1,)",int32
/AwakeEventData/SR.SCOPE28.CH01/Acquisition/sensitivity,Dataset,1,"(1,)",float32
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/position,Dataset,1,(),|S128
/AwakeEventData/RADMON.AWAKE-3/Acquisition/revisionNumber,Dataset,1,"(1,)",int32
/AwakeEventData/RADMON.AWAKE-1/Acquisition/SEUType2,Dataset,1,"(1,)",float64
/AwakeEventData/RADMON.AWAKE-1/Acquisition/SEUType1,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BTV.412350/Acquisition/filterSelect_min,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412353/Acquisition/screenSelect_min,Dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/imageTimeStamp,Dataset,1,"(1,)",int64
/AwakeEventData/TT41.BPM.412351_HF/Acquisition/verAvePos,Dataset,1,"(1,)",float32
/AwakeEventData/MPP-VACTRANS-CTR/Acquisition,Group,5,,
/AwakeEventData/SR.SCOPE30.CH01/Acquisition/value,Dataset,4000,"(1, 4000)",int16
/AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/delayTime,Dataset,1,"(1,)",float64
/AwakeEventData/TT43.BPM.430308/Acquisition/horPos,Dataset,12,"(12,)",float32
/AwakeEventData/TT41.BTV.412350/Acquisition/sigmaSet1,Dataset,1,"(1,)",float64
/AwakeEventData/TT43.BPM.430203/Acquisition/spsExtraction,Dataset,1,(),bool
/AwakeEventData/PMOTOR15/Acquisition,Group,1,,
/AwakeEventData/SR.SCOPE43.CH07/Acquisition/sampleInterval,Dataset,1,"(1,)",float32
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjection,Dataset,1200,"(1200,)",float64
/AwakeEventData/SR.SCOPE43.CH06/Acquisition/value_units,Dataset,1,"(1,)",|S1
/AwakeEventData/TT41.AWAKE-eBLM-pico1/FileRead/dataValue4,Dataset,785,"(785,)",float64
/AwakeEventData/TT41.AWAKE-eBLM-pico1/FileRead/dataValue1,Dataset,785,"(785,)",float64
/AwakeEventData/TT41.AWAKE-eBLM-pico1/FileRead/dataValue3,Dataset,785,"(785,)",float64
/AwakeEventData/TT41.AWAKE-eBLM-pico1/FileRead/dataValue2,Dataset,785,"(785,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/height,Dataset,1,"(1,)",int32
/AwakeEventData/BTV.TT41.412442_MASK_H/Acquisition/position,Dataset,1,"(1,)",int32
/AwakeEventData/RPCAH.TSG4.RCIBH.430011/Acquisition,Group,1,,
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageTimeStamp,Dataset,1,"(1,)",int64
/AwakeEventData/TT41.AWAKE-eBLM-pico3/FileRead/fileName,Dataset,1,"(1,)",|S17
/AwakeEventData/XUCL-SPECTRO/CameraSettings/mcpGain,Dataset,1,"(1,)",int32
/AwakeEventData/TT43.BPM.430203/Acquisition/posOK,Dataset,0,"(0,)",No NumPy equivalent for TypeBitfieldID exists
/AwakeEventData/VTUAwake2Fc/ModeAcq,Group,1,,
/AwakeEventData/TT41.BTV.412353/Image/acqState,Dataset,1,"(1,)",int32
/AwakeEventData/PMOTOR04/Acquisition/position,Dataset,1,"(1,)",int32
/AwakeEventData/SPSBQMSPSv1/RawWavesFTAcquisition,Group,1,,
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/position,Dataset,1,(),|S128
/AwakeEventData/RPCAH.TSG4.RQIF.412346/Acquisition,Group,1,,
/AwakeEventData/RADMON.AWAKE-3/Acquisition/radmonStatus,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412353/Image/filterSelectStr,Dataset,4,"(4,)",|S9
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
/AwakeEventData/TT41.BTV.412442,Group,2,,
/AwakeEventData/TT41.BTV.412353/Image/cameraSwitch,Dataset,1,"(1,)",int32
/AwakeEventData/SPSBQMSPSv1/Acquisition/satelliteBucketsMid,Dataset,4620,"(4620,)",float32
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/sigma,Dataset,14,"(14,)",int32
/AwakeEventData/SPS.BCTDC.51895/Acquisition,Group,33,,
/AwakeEventData/SR.SCOPE43.CH01/Acquisition/offset,Dataset,1,"(1,)",float32
/AwakeEventData/TT41.BPM.412347/Acquisition/spsExtractionIndex,Dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/exposureTime,Dataset,1,"(1,)",float64
/AwakeEventData/VTUAwake3FT1/NormalModeAcq,Group,1,,
/AwakeEventData/SPS.BCTDC.51895/Acquisition/samplingTime,Dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityAvg,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BPM.412349_HF/Acquisition,Group,9,,
/AwakeEventData/SR.SCOPE43.CH05/Acquisition/diffStamps,Dataset,1,"(1,)",int64
/AwakeEventData/SPS.BCTDC.51895/Acquisition/nbOfMeas,Dataset,1,"(1,)",int32
/AwakeEventData/RPCAH.TSG4.RCIBH.412347/Acquisition,Group,1,,
/AwakeEventData/SR.SCOPE43.CH07/Acquisition/cycleTag,Dataset,1,"(1,)",int32
/AwakeEventData/RPCAH.TSG4.RQID.430109S,Group,1,,
/AwakeEventData/SR.SCOPE27.CH01/Acquisition/value,Dataset,320,"(1, 320)",int16
/AwakeEventData/XMPP-STREAK,Group,1,,
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/beamSize,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BTV.412426/Acquisition/firstLamp_max,Dataset,1,"(1,)",int16
/AwakeEventData/TSG41.AWAKE-GUI-SUPPORT/NameAcquisition/nameValue,Dataset,100,"(100,)",|S20
/AwakeEventData/TT41.BTV.412426/Acquisition/offsetCalSet2,Dataset,4,"(4,)",float64
/AwakeEventData/TT41.BTV.412353/Image,Group,64,,
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityAvg,Dataset,1,"(1,)",float64
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
/AwakeEventData/RPCAH.TSG4.RCIBH.412344/Acquisition/currentAverage,Dataset,1,"(1,)",float32
/AwakeEventData/TT41.BTV.412353/Image/imagePositionSet2_unit,Dataset,1,"(1,)",|S2
/AwakeEventData/SPS.BCTDC.41435/Acquisition/acqDesc,Dataset,1,"(1,)",|S1
/AwakeEventData/XUCL-SPECTRO/CameraSettingsStatus,Dataset,1,(),|S104
/AwakeEventData/SR.SCOPE45.CH01/Acquisition/value,Dataset,352,"(1, 352)",int16
/AwakeEventData/TSG41.AWAKE-CTRHET-WR8/FileRead,Dataset,1,(),|S166
/AwakeEventData/TT41.BTV.412426/Image/saturationThreshold,Dataset,1,"(1,)",int16
/AwakeEventData/SR.SCOPE43.CH05/Acquisition/value_units,Dataset,1,"(1,)",|S1
/AwakeEventData/TT41.BTV.412350/Acquisition/cameraZoom,Dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityAvg,Dataset,1,"(1,)",float64
/AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakStdOk,Dataset,1,(),bool
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjSigma,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BTV.412426/Acquisition/acqState,Dataset,1,"(1,)",int32
/AwakeEventData/SR.SCOPE45.CH04/Acquisition/CTime,Dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamIntensity,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BCTF.412340/Acquisition/totalIntensityAutoCh2,Dataset,1,"(1,)",float32
/AwakeEventData/TT41.BTV.412353/Acquisition/offsetCalSet1,Dataset,4,"(4,)",float64
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/bpmNames,Dataset,14,"(14,)",|S18
/AwakeEventData/TT41.BTV.412426/Acquisition/acqTime,Dataset,1,"(1,)",|S26
/AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMax,Dataset,1,"(1,)",float32
/AwakeEventData/TT41.BTV.412426/Acquisition/descSet2,Dataset,1,"(1,)",|S19
/AwakeEventData/RPCAH.TSG4.RCIBH.430104/Acquisition,Group,1,,
/AwakeEventData/Plunger.412401,Group,2,,
/AwakeEventData/SR.SCOPE43.CH03/Acquisition/firstSampleTime,Dataset,1,"(1,)",float32
/AwakeEventData/TT41.BTV.412353/Acquisition/saturationThreshold,Dataset,1,"(1,)",int16
/AwakeEventData/RPCAH.TSG4.RCIBV.430029/Acquisition/currentAverage,Dataset,1,"(1,)",float32
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/cogY,Dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/cogX,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BCTF.412340/Acquisition/descriptionCh1,Dataset,1,"(1,)",|S1
/AwakeEventData/TT41.BCTF.412340/Acquisition/descriptionCh2,Dataset,1,"(1,)",|S1
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/height,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412353/Acquisition/secondLamp_max,Dataset,1,"(1,)",int16
/AwakeEventData/TT41.BPM.412351,Group,1,,
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjection,Dataset,960,"(960,)",float64
/AwakeEventData/TT41.BTV.412350/Image/mire,Dataset,1,"(1,)",int32
/AwakeEventData/SR.SCOPE43.CH01/Acquisition/cycleTag,Dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjSigma,Dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjection,Dataset,2592,"(2592,)",float64
/AwakeEventData/SR.AWGPH/Status/position,Dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/triggerMode,Dataset,1,"(1,)",|S2
/AwakeEventData/RPCAH.TSG4.RCIBH.430029/Acquisition,Group,1,,
/AwakeEventData/awake.XAWAVS_VX_TT_AVG/PosSt,Group,1,,
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAmp,Dataset,1,"(1,)",float64
/AwakeEventData/SPS.BCTDC.41435/Acquisition/measStamp_unitExponent,Dataset,1,"(1,)",float32
/AwakeEventData/SR.SCOPE29.CH01/Acquisition/CTime,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BPM.412343/Acquisition,Group,9,,
/AwakeEventData/RPCAH.TSG4.RCIBV.430204/Acquisition/currentAverage,Dataset,1,"(1,)",float32
/AwakeEventData/SR.SCOPE43.CH03/Acquisition/sensitivity,Dataset,1,"(1,)",float32
/AwakeEventData/TT41.BTV.412353/Acquisition/secondLamp,Dataset,1,"(1,)",int16
/AwakeEventData/SPSBQMSPSv1/Acquisition/nSatellitesIntensity,Dataset,1,"(1,)",int32
/AwakeEventData/MPP-TSG41-MIRROR1-H,Group,1,,
/AwakeEventData/RPCAH.TSG4.RCIBH.430130/Acquisition/currentAverage,Dataset,1,"(1,)",float32
/AwakeEventData/TT41.BTV.412426/Acquisition/rightBottomReference,Dataset,2,"(2,)",int16
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAmp,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BPM.412349_HF/Acquisition/verAvePos,Dataset,1,"(1,)",float32
/AwakeEventData/TT41.AWAKE-PLASMA-SPECTRO-UP/FileRead/fileReadDelay,Dataset,1,"(1,)",int64
/AwakeEventData/Plunger.412401/State/value,Dataset,1,"(1,)",int16
/AwakeEventData/TT41.BTV.412350/Image/imagePositionSet1_unit,Dataset,1,"(1,)",|S2
/AwakeEventData/XMPP-STREAK/StreakImage,Group,13,,
/AwakeEventData/SPSBQMSPSv1/Acquisition/oscillationPercentPeakMax,Dataset,1,"(1,)",float32
/AwakeEventData/SR.SCOPE45.CH01/Acquisition/diffStamps,Dataset,1,"(1,)",int64
/AwakeEventData/TT41.BTV.412426/Acquisition/nbDataSets,Dataset,1,"(1,)",int32
/AwakeEventData/GD_BPM.AWAKE.TRIUMF,Group,2,,
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/rightLimitSwitchReached,Dataset,1,(),|S128
/AwakeEventData/XUCL-SPECTRO/CameraSettings,Group,25,,
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/triggerMode,Dataset,1,"(1,)",|S2
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/height,Dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.04TT41.CAM4,Group,2,,
/AwakeEventData/SPS.BCTDC.41435/Acquisition/totalIntensity_unit,Dataset,1,"(1,)",int32
/AwakeEventData/LSSP2/Acq,Group,1,,
/AwakeEventData/TT41.BTV.412426/Image/screenSelectStr,Dataset,4,"(4,)",|S10
/AwakeEventData/VTUAwake3FT0/ModeAcq/pdcOutDelay,Dataset,1,"(1,)",int16
/AwakeEventData/SR.SCOPE30.CH01/Acquisition/firstSampleTime,Dataset,1,"(1,)",float32
/AwakeEventData/TT41.BTV.412426/Image/cameraOffset_min,Dataset,1,"(1,)",int16
/AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank1SEUCounts,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412350/Acquisition/nbGates,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412426/Image/videoGain,Dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjection,Dataset,2048,"(2048,)",float64
/AwakeEventData/FWHEEL01/Acq/frontWheelPositionDescription,Dataset,1,"(1,)",|S6
/AwakeEventData/RPCAH.TSG4.RCIBV.430029,Group,1,,
/AwakeEventData/SR.SCOPE43.CH01/Acquisition/diffStamps,Dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04,Group,2,,
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageRawData,Dataset,2304000,"(1200, 1920)",int16
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjection,Dataset,1200,"(1200,)",float64
/AwakeEventData/TT41.BPM.412349/Acquisition/spsExtraction,Dataset,1,(),bool
/AwakeEventData/FWHEEL01/Acq/backWheelPositionDescription,Dataset,1,"(1,)",|S6
/AwakeEventData/SR.SCOPE43.CH04/Acquisition/cycleTag,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412353/Acquisition/offsetCalSet2,Dataset,4,"(4,)",float64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjection,Dataset,1600,"(1600,)",float64
/AwakeEventData/TT41.AWAKE-eBLM-pico2/FileRead/FileTime,Dataset,1,"(1,)",int64
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjAmp,Dataset,1,"(1,)",float64
/AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
/AwakeEventData/RPCAH.TSG4.RCIBV.430104/Acquisition/currentAverage,Dataset,1,"(1,)",float32
/AwakeEventData/RPCAH.TSG4.RQID.430109S/Acquisition,Group,1,,
/AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/pixelSize,Dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings,Group,4,,
/AwakeEventData/SPS.BCTDC.51895/Acquisition/superCycleNb,Dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.03TT41.CAM3,Group,2,,
/AwakeEventData/TT41.BTV.412426/Image/leftBottomReference,Dataset,2,"(2,)",int16
/AwakeEventData/TT41.BTV.412350/Acquisition/leftBottomReference,Dataset,2,"(2,)",int16
/AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthOk,Dataset,1,(),bool
/AwakeEventData/RPCAH.TSG4.RCIBH.412347/Acquisition/currentAverage,Dataset,1,"(1,)",float32
/AwakeEventData/TT41.BTV.412426/Image/sigmaSet2,Dataset,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/height,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412353/Image/screenSelectStr,Dataset,4,"(4,)",|S10
/AwakeEventData/TT43.BPM.430039/Acquisition/horAvePos,Dataset,1,"(1,)",float32
/AwakeEventData/BPM.AWAKE.TT41/Acquisition/horPosOk,Dataset,0,"(0,)",No NumPy equivalent for TypeBitfieldID exists
/AwakeEventData/BOVWA.01TCV4.CAM8,Group,2,,
/AwakeEventData/TT41.BTV.412353/Acquisition/projDataSet1,Dataset,400,"(1, 400)",float64
/AwakeEventData/TT41.BTV.412353/Acquisition/screenSelect,Dataset,1,"(1,)",int32
/AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakStd,Dataset,1,"(1,)",float32
/AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity,Dataset,940,"(940,)",float32
/AwakeEventData/MPP-VACTRANS-OTR/Acquisition/position,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412353/Acquisition/projDataSet2,Dataset,300,"(1, 300)",float64
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/leftLimitSwitchReached,Dataset,1,(),|S128
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS,Group,6,,
/AwakeEventData/SPSBQMSPSv1/Acquisition/bunchIntensityMinThr,Dataset,1,"(1,)",float32
/AwakeEventData/RADMON.AWAKE-1/Acquisition/lPar1,Dataset,1,"(1,)",float64
/AwakeEventData/XMPP-STREAK/StreakImage/streakImageTimeValues,Dataset,512,"(512,)",float64
/AwakeEventData/MPP-VACTRANS-CTR/Acquisition/mmPosition,Dataset,1,"(1,)",float64
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement,Group,3,,
/AwakeEventData/SPS.BCTDC.51895/Acquisition/totalIntensity_unit,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412426/Acquisition/firstLamp_min,Dataset,1,"(1,)",int16
/AwakeEventData/TT43.BPM.430010/Acquisition/verPos,Dataset,12,"(12,)",float32
/AwakeEventData/TT41.BTV.412350/Acquisition/projDataSet2,Dataset,300,"(1, 300)",float64
/AwakeEventData/BOVWA.05TT41.CAM5,Group,2,,
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/beamSize,Dataset,1,"(1,)",float64
/AwakeEventData/SR.SCOPE45.CH01,Group,1,,
/AwakeEventData/SR.SCOPE45.CH03,Group,1,,
/AwakeEventData/SR.SCOPE45.CH02,Group,1,,
/AwakeEventData/SR.SCOPE45.CH04,Group,1,,
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAvg,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BPM.412351_HF/Acquisition/sigmaAvePos,Dataset,1,"(1,)",float32
/AwakeEventData/TCC4.AWAKE-SCOPE-CTR.CH1/FileRead/fileTime,Dataset,1,"(1,)",int64
/AwakeEventData/TT41.BTV.412350/Image/screenSelectStr,Dataset,4,"(4,)",|S10
/AwakeEventData/TT41.AWAKE-eBLM-pico1/FileRead/fileName,Dataset,1,"(1,)",|S17
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement/position,Dataset,1,(),|S128
/AwakeEventData/TT41.BPM.412347/Acquisition/horPos,Dataset,12,"(12,)",float32
/AwakeEventData/awake.XAWAVS_UE_TT_AVG/PosSt/value,Dataset,1,"(1,)",float64
/AwakeEventData/SPS.BCTDC.51895/Acquisition/range2Data,Dataset,1120,"(1120,)",int16
/AwakeEventData/TT41.AWAKE-PLASMA-SPECTRO-DOWN/FileRead/fileReadDelay,Dataset,1,"(1,)",int64
/AwakeEventData/Plunger.412422/State,Group,1,,
/AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings,Group,4,,
/AwakeEventData/TT41.BTV.412426/Acquisition/offsetCalSet1,Dataset,4,"(4,)",float64
/AwakeEventData/VGP.412400/PR/value,Dataset,1,"(1,)",float32
/AwakeEventData/TT41.BPM.412347/Acquisition/verPos,Dataset,12,"(12,)",float32
/AwakeEventData/TT43.BPM.430103/Acquisition/sigmaAvePos,Dataset,1,"(1,)",float32
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/delayTime,Dataset,1,"(1,)",float64
/AwakeEventData/RPCAH.TSG4.RQIF.430118,Group,1,,
/AwakeEventData/TT41.AWAKE-eBLM-pico3/FileRead/dataAcquisitionTime,Dataset,1,"(1,)",int64
/AwakeEventData/TT43.BPM.430203/Acquisition/sigmaAvePos,Dataset,1,"(1,)",float32
